Model,Recall,F2,AUC_PR,Precision,Specificity,Threshold,policy_status,recommended
Random Forest (All 541),0.8666666666666667,0.3323593864134405,0.45739826999777977,0.0958904109589041,0.7036269430051814,0.29000000000000004,Best recall with accuracy >= 0.70,True
Logistic Regression (All 541),0.8357142857142857,0.3192650536656358,0.39004203324573133,0.09195703432014671,0.7006908462867012,0.35000000000000003,Best recall with accuracy >= 0.70,False
Extra Trees (All 541),0.8285714285714286,0.3206782159970512,0.373095438714951,0.09289909236518953,0.7065630397236615,0.39,Best recall with accuracy >= 0.70,False
Decision Tree (All 541),0.7142857142857143,0.3691853310361802,0.3914902629608987,0.1258917331095258,0.8201208981001727,0.29000000000000004,Best recall with accuracy >= 0.70,False
