"","CHELSA_Annual_Mean_Temperature","Richnss","cnRatio","Lai","SoilMoisture","Human_Disturbance","Fire_Frequency","ForestAge","DimtrMn"
"1",0.215953777145381,-0.0247253631637089,-0.0135254648744658,0.0578306992142413,-0.133156354652943,0.0655471800336769,0.017378461850995,0.00629240800604352,-0.100220026906778
"2",0.221714266038182,-0.0311358453992017,-0.0153952992985039,0.0557376415051114,-0.133239877548346,0.0580554667399247,0.0099577962424469,0.014008583853677,-0.0914184278573599
"3",0.21824122297231,-0.0336675674015419,-0.0166555529559078,0.0639994126157023,-0.129938268639997,0.0603689418719261,0.0125717790597435,0.00734057500346613,-0.0929137390778036
"4",0.229445269670315,-0.0329451442710081,-0.0300785495740813,0.0601343538621351,-0.117772948179161,0.0432159909624236,0.0162574015158016,0.00774627829445669,-0.0943823978920736
"5",0.224638795544959,-0.0318710517075666,-0.0228956314102385,0.0613721378425257,-0.137686271849592,0.0634217718824128,0.0167995633982164,0.0131726971044385,-0.0997408285747865
"6",0.209276222951751,-0.0314085767951002,-0.0225509139550914,0.0652927344378903,-0.141618732743533,0.0616781353070849,0.0141258164503352,0.0106165808453087,-0.0906762630704241
"7",0.213623214799761,-0.0350322434468357,-0.0098971166532535,0.0590900436610568,-0.1379089272311,0.0527959424396354,0.00418657794997138,0.00968232389167295,-0.0951090211373805
"8",0.21872446691229,-0.0387617708732879,-0.0136565358149874,0.0625676398999364,-0.128600885847602,0.0637234758001203,0.0161113707723366,0.0038273185372357,-0.105574737763945
"9",0.217442970246524,-0.0321627867771421,-0.0303558538945977,0.065956564330142,-0.136466630895592,0.0715691316756574,0.0143765421465997,0.0154589527398737,-0.103941260512042
"10",0.212346827768374,-0.0293496893887642,-0.0200246806097717,0.0611136423141361,-0.134812926800445,0.0636355443014144,0.0163515685840533,0.00378902586833385,-0.0924154423796848
"11",0.209983441509199,-0.0356736969942644,-0.0168524764755569,0.0706890711228595,-0.138183549657569,0.0737096988856125,0.0121016248047345,0.0115549550490881,-0.108977558642293
