"","LatRound","Type","mean","lowCI","highCI"
"1",-55.7,"Model_CWD",0.515223264694214,0.511891415552752,0.518555113835677
"2",-55.6,"Model_CWD",0.516052513321241,0.511906111013971,0.520198915628511
"3",-55.5,"Model_CWD",0.517804125421926,0.511864897949376,0.523743352894475
"4",-55.4,"Model_CWD",0.518697050415863,0.512646915991086,0.524747184840641
"5",-55.3,"Model_CWD",0.518646126070981,0.511719723473716,0.525572528668247
"6",-55.2,"Model_CWD",0.516454577672617,0.509967191493196,0.522941963852039
"7",-55.1,"Model_CWD",0.515559112016385,0.509286219283348,0.521832004749423
"8",-55,"Model_CWD",0.517243480774605,0.508356976859234,0.526129984689975
"9",-54.9,"Model_CWD",0.524855176685989,0.518042681390629,0.531667671981349
"10",-54.8,"Model_CWD",0.526050188311376,0.518947519058169,0.533152857564583
"11",-54.7,"Model_CWD",0.526126358365141,0.51911215402312,0.533140562707163
"12",-54.6,"Model_CWD",0.525971789143782,0.518784335855986,0.533159242431578
"13",-54.5,"Model_CWD",0.524387735618304,0.514259401753437,0.53451606948317
"14",-54.4,"Model_CWD",0.523662617964558,0.512610147110807,0.534715088818309
"15",-54.3,"Model_CWD",0.522550104617575,0.510247109857398,0.534853099377752
"16",-54.2,"Model_CWD",0.524522689685674,0.511796154212872,0.537249225158477
"17",-54.1,"Model_CWD",0.5242770787906,0.512136135636202,0.536418021944997
"18",-54,"Model_CWD",0.525820828194119,0.515463812354907,0.536177844033331
"19",-53.9,"Model_CWD",0.524149247670666,0.513121033680579,0.535177461660752
"20",-53.8,"Model_CWD",0.523058504409467,0.513446065448355,0.532670943370579
"21",-53.7,"Model_CWD",0.524477592759958,0.516027691493419,0.532927494026498
"22",-53.6,"Model_CWD",0.526259731425658,0.518017615362736,0.534501847488579
"23",-53.5,"Model_CWD",0.526562364720091,0.519539972865048,0.533584756575133
"24",-53.4,"Model_CWD",0.526956506220242,0.519130266955194,0.534782745485289
"25",-53.3,"Model_CWD",0.524178550380175,0.514695760929413,0.533661339830937
"26",-53.2,"Model_CWD",0.522336534355993,0.513933816701173,0.530739252010813
"27",-53.1,"Model_CWD",0.523895912454464,0.514827606821675,0.532964218087252
"28",-53,"Model_CWD",0.522777645024829,0.512151408077732,0.533403881971927
"29",-52.9,"Model_CWD",0.521088522160711,0.510937940947843,0.53123910337358
"30",-52.8,"Model_CWD",0.520435269932571,0.509055381976809,0.531815157888334
"31",-52.7,"Model_CWD",0.52476013094595,0.51679819165205,0.53272207023985
"32",-52.6,"Model_CWD",0.520175782905547,0.513321093769519,0.527030472041575
"33",-52.5,"Model_CWD",0.516323736888369,0.508031772828881,0.524615700947857
"34",-52.4,"Model_CWD",0.511067994517278,0.501151128323104,0.520984860711453
"35",-52.3,"Model_CWD",0.513434477656136,0.504213112571677,0.522655842740594
"36",-52.2,"Model_CWD",0.513966337984635,0.502644178285171,0.525288497684098
"37",-52.1,"Model_CWD",0.515554166321597,0.504817736512645,0.52629059613055
"38",-52,"Model_CWD",0.520899826500816,0.512373985780775,0.529425667220856
"39",-51.9,"Model_CWD",0.525410219087257,0.517836400536389,0.532984037638125
"40",-51.8,"Model_CWD",0.52564228902158,0.517159268215258,0.534125309827903
"41",-51.7,"Model_CWD",0.524934013916386,0.514969350073294,0.534898677759479
"42",-51.6,"Model_CWD",0.522344705118728,0.510185522092611,0.534503888144845
"43",-51.5,"Model_CWD",0.521082820308782,0.504933167173493,0.53723247344407
"44",-51.4,"Model_CWD",0.515321393148771,0.499604899861656,0.531037886435886
"45",-51.3,"Model_CWD",0.514874874894974,0.502514359084858,0.527235390705089
"46",-51.2,"Model_CWD",0.511215565414042,0.498061124858668,0.524370005969416
"47",-51.1,"Model_CWD",0.511145129355978,0.500301069106731,0.521989189605226
"48",-51,"Model_CWD",0.512705019093994,0.502536358904397,0.522873679283591
"49",-50.9,"Model_CWD",0.505630383965592,0.491985288447609,0.519275479483575
"50",-50.8,"Model_CWD",0.499689152874684,0.485117769818432,0.514260535930936
"51",-50.7,"Model_CWD",0.499493933626725,0.485518846334919,0.513469020918531
"52",-50.6,"Model_CWD",0.499912471503802,0.488453815412182,0.511371127595422
"53",-50.5,"Model_CWD",0.506138800773569,0.495027218865146,0.517250382681992
"54",-50.4,"Model_CWD",0.505795668799351,0.493063596900438,0.518527740698264
"55",-50.3,"Model_CWD",0.506897144353212,0.493898653997416,0.519895634709008
"56",-50.2,"Model_CWD",0.50712697909403,0.495572780412651,0.518681177775409
"57",-50.1,"Model_CWD",0.504025520166246,0.492746883959932,0.51530415637256
"58",-50,"Model_CWD",0.501926186885543,0.490270080106138,0.513582293664947
"59",-49.9,"Model_CWD",0.501533365717121,0.491535176255932,0.51153155517831
"60",-49.8,"Model_CWD",0.50473132429071,0.495252413354334,0.514210235227085
"61",-49.7,"Model_CWD",0.505225224342457,0.495205867978159,0.515244580706755
"62",-49.6,"Model_CWD",0.504074164871442,0.493562312080656,0.514586017662228
"63",-49.5,"Model_CWD",0.502568655014038,0.491542925116283,0.513594384911793
"64",-49.4,"Model_CWD",0.50367159409416,0.492015489941645,0.515327698246675
"65",-49.3,"Model_CWD",0.502382296951897,0.487797503488577,0.516967090415217
"66",-49.2,"Model_CWD",0.503825388460731,0.491272209654102,0.516378567267359
"67",-49.1,"Model_CWD",0.501133125321824,0.49032809196337,0.511938158680277
"68",-49,"Model_CWD",0.500400320027841,0.488657086609045,0.512143553446636
"69",-48.9,"Model_CWD",0.502847746721248,0.48905744997109,0.516638043471406
