gene,mean_case,mean_control,fold_change,log2FC,t_stat,pvalue,qvalue,direction,fc_threshold
TMEM270,3.7516122,0.8947117,4.193096,2.0680158,27.23625373840332,3.384788506233451e-70,6.7307550654420025e-68,upregulated,1.974197173118589
IFNL2,1.2476419,0.0886808,14.068907,3.8144383,19.95734977722168,3.529033602705078e-70,6.992528009931348e-68,upregulated,1.974197173118589
KLHL21,11.384813,12.641936,0.9005593,-0.1511068,-26.491371154785156,3.791405610231895e-70,7.485664884543258e-68,non-significant,1.974197173118589
STOX2,7.4642076,9.531432,0.783115,-0.35270387,-25.51470375061035,4.0018208974077414e-70,7.873085935751117e-68,non-significant,1.974197173118589
TNFRSF10D,7.0834365,9.260082,0.7649431,-0.3865756,-27.628833770751953,4.876915352749627e-70,9.560822041362165e-68,non-significant,1.974197173118589
AIF1L,10.990709,12.566862,0.87457865,-0.19333996,-21.973554611206055,5.484546208534441e-70,1.0714176889066577e-67,non-significant,1.974197173118589
TTC28,10.130464,11.699488,0.8658895,-0.20774518,-27.93868064880371,6.48199326621547e-70,1.2618280224899449e-67,non-significant,1.974197173118589
ABCA9,7.148463,11.13335,0.6420765,-0.6391829,-31.001346588134766,6.723879312802243e-70,1.304338546413526e-67,non-significant,1.974197173118589
RIMBP2,3.7737007,6.2716064,0.601712,-0.73285496,-25.099105834960938,7.058692066823875e-70,1.3645165012800997e-67,non-significant,1.974197173118589
FGF10,7.780562,10.703177,0.72693944,-0.4600929,-22.608264923095703,7.219902784144082e-70,1.3908340502233112e-67,non-significant,1.974197173118589
MAGI2-AS3,8.920642,11.311029,0.78866756,-0.3425108,-30.218626022338867,7.81100738294683e-70,1.499497195868132e-67,non-significant,1.974197173118589
MOB3B,8.959006,10.865569,0.82453173,-0.27835307,-26.04735565185547,8.169190673899256e-70,1.562850684785968e-67,non-significant,1.974197173118589
HMGB3,11.828314,9.703749,1.2189428,0.28563038,27.936687469482422,8.238012817435257e-70,1.570601206568069e-67,non-significant,1.974197173118589
KCNJ16,3.0964627,8.278999,0.37401414,-1.4188353,-30.78312110900879,8.951147381282956e-70,1.7007180024437617e-67,downregulated,1.974197173118589
RACGAP1,11.252474,9.520823,1.1818805,0.24108416,27.30556869506836,9.362028839850944e-70,1.7727145393683627e-67,non-significant,1.974197173118589
GRM4,7.0957456,3.1710968,2.2376313,1.1619724,27.17506217956543,1.0586003212100922e-69,1.9976580211134664e-67,upregulated,1.974197173118589
C10orf90,3.2904856,7.4988146,0.43880078,-1.188362,-29.386077880859375,1.2940719632114343e-69,2.4337326277617078e-67,downregulated,1.974197173118589
OGN,8.827045,12.494641,0.7064665,-0.50130695,-26.44342613220215,1.3796953318071897e-69,2.5859965205629352e-67,non-significant,1.974197173118589
SPRY1,10.769334,12.804812,0.841038,-0.24975713,-27.95853042602539,1.6099499213507808e-69,3.0074081359104824e-67,non-significant,1.974197173118589
GPR12,3.0344703,6.6194468,0.4584175,-1.125266,-24.842121124267578,2.2131590709773146e-69,4.120337760329577e-67,downregulated,1.974197173118589
GDF10,4.790182,9.185597,0.52148837,-0.939293,-29.997894287109375,2.4068530737046616e-69,4.465960151476075e-67,non-significant,1.974197173118589
SPC24,9.012652,5.992479,1.503994,0.58879876,31.771486282348633,2.4833045425121894e-69,4.592457867285876e-67,non-significant,1.974197173118589
CDCA8,10.01512,7.234323,1.3843893,0.46924967,30.545562744140625,3.1457231334335125e-69,5.798163436640906e-67,non-significant,1.974197173118589
FAM126A,9.626585,11.814925,0.8147817,-0.2955145,-28.635618209838867,3.4416855085110384e-69,6.322672583185179e-67,non-significant,1.974197173118589
CCNB1,11.330071,8.907077,1.2720302,0.34713295,30.647138595581055,4.181288365036747e-69,7.656035593803257e-67,non-significant,1.974197173118589
CYP11A1,5.087133,7.1599345,0.71049994,-0.49309355,-25.253326416015625,4.524815981794442e-69,8.257789166774857e-67,non-significant,1.974197173118589
ITIH5,9.528404,13.651719,0.6979637,-0.51877606,-32.56654357910156,5.004728569921766e-69,9.103683313418347e-67,non-significant,1.974197173118589
NUF2,9.531939,5.913009,1.6120284,0.6888771,32.0124397277832,5.167011593287769e-69,9.36816350312436e-67,non-significant,1.974197173118589
RNF150,8.686076,11.758122,0.73872983,-0.43688124,-29.63456916809082,5.285700610098411e-69,9.541334941732126e-67,non-significant,1.974197173118589
TCEAL7,6.2100596,8.685934,0.71495587,-0.4840739,-29.176305770874023,5.29691990276405e-69,9.541334941732126e-67,non-significant,1.974197173118589
MEIS2,8.4307785,10.359788,0.81379837,-0.2972567,-27.42879867553711,6.001005416602471e-69,1.0774620728579453e-66,non-significant,1.974197173118589
CDK1,11.049834,8.020665,1.3776705,0.46223092,31.466720581054688,7.28510034812653e-69,1.3037979590776126e-66,non-significant,1.974197173118589
