gene,mean_case,mean_control,fold_change,log2FC,t_stat,pvalue,qvalue,direction,fc_threshold
PPWD1,10.251655,10.684706,0.95947,-0.059690434,-8.70744514465332,5.43358776479897e-15,3.013349152249569e-14,non-significant,1.974197173118589
FAM163B,1.6472889,0.8149884,2.0212421,1.0152422,8.529069900512695,5.438264574980033e-15,3.0156413655161645e-14,upregulated,1.974197173118589
YWHAB,14.625752,14.218357,1.0286528,0.040756095,8.622767448425293,5.441843440364577e-15,3.0173243461066034e-14,non-significant,1.974197173118589
LINC02669,4.3914304,5.4709344,0.8026838,-0.31709635,-8.82429313659668,5.5103606356396744e-15,3.0547709029613695e-14,non-significant,1.974197173118589
AC108448.2,2.367733,3.1489043,0.7519228,-0.41134357,-8.68377685546875,5.510480749249709e-15,3.0547709029613695e-14,non-significant,1.974197173118589
AC004156.1,4.7584724,4.0572166,1.1728415,0.23000813,8.488090515136719,5.51426975493547e-15,3.056565950682585e-14,non-significant,1.974197173118589
SUMO2P15,0.545518,1.3778715,0.39591354,-1.3367426,-8.898014068603516,5.518228427328167e-15,3.058454676804862e-14,downregulated,1.974197173118589
SPEN,12.451622,12.9912195,0.95846444,-0.06120318,-8.701570510864258,5.534749487258958e-15,3.067304980053211e-14,non-significant,1.974197173118589
FOXN3-AS1,6.4064035,7.033087,0.910895,-0.13464335,-8.610093116760254,5.544602512888603e-15,3.072458523921891e-14,non-significant,1.974197173118589
ORC5,10.338755,9.875792,1.0468786,0.06609412,8.740944862365723,5.622406573831178e-15,3.115261327435871e-14,non-significant,1.974197173118589
CDS2,12.190925,12.615676,0.9663315,-0.049409933,-8.569046020507812,5.67770960134829e-15,3.145589461581817e-14,non-significant,1.974197173118589
FCGR1B,5.4724,4.375513,1.2506876,0.32272148,8.874621391296387,5.7056533051957355e-15,3.160755320741482e-14,non-significant,1.974197173118589
LSP1P4,5.867609,6.626415,0.88548774,-0.17545576,-8.596308708190918,5.718193893134678e-15,3.1673861540646154e-14,non-significant,1.974197173118589
CNOT6,11.872374,11.306086,1.050087,0.07050883,8.727407455444336,5.752886183926866e-15,3.186284571071803e-14,non-significant,1.974197173118589
PTMAP5,6.662914,5.8349605,1.1418953,0.19143036,8.812954902648926,5.82390108270049e-15,3.2252947900601236e-14,non-significant,1.974197173118589
C5AR2,9.494384,8.5103245,1.1156312,0.15786022,8.46069622039795,5.842163323974609e-15,3.235085549596879e-14,non-significant,1.974197173118589
AL355516.1,0.27992857,0.018181818,15.396064,3.9444897,7.915889739990234,5.847406026051229e-15,3.2376655321888444e-14,upregulated,1.974197173118589
UCKL1,10.765089,10.369046,1.0381948,0.054077134,8.500205993652344,5.879700700832568e-15,3.2552219826583264e-14,non-significant,1.974197173118589
MGST1,12.70482,13.846245,0.9175643,-0.12411887,-8.685273170471191,5.90016724943437e-15,3.2662270903873365e-14,non-significant,1.974197173118589
AP000553.5,2.0206504,1.0882269,1.8568282,0.8928403,8.723780632019043,6.024486692545584e-15,3.33471537166945e-14,non-significant,1.974197173118589
BATF,9.1761055,7.849263,1.1690403,0.22532469,8.853426933288574,6.0359588326902206e-15,3.340732203089121e-14,non-significant,1.974197173118589
ATG14,10.647434,11.114205,0.95800227,-0.06189902,-8.69639778137207,6.050546859677671e-15,3.3484722172061565e-14,non-significant,1.974197173118589
PLCL1,8.92355,9.661748,0.9235958,-0.11466651,-8.37052059173584,6.149037320223991e-15,3.402639043746529e-14,non-significant,1.974197173118589
PRSS43P,2.06443,3.082159,0.6698,-0.5781977,-8.685796737670898,6.15010486482907e-15,3.402890374994682e-14,non-significant,1.974197173118589
ATG9A,10.317097,10.761883,0.95867026,-0.060893416,-8.333162307739258,6.203348561518009e-15,3.4320081590847545e-14,non-significant,1.974197173118589
KRTAP5-AS1,5.7872934,4.459412,1.2977705,0.37603527,8.711605072021484,6.209802432002418e-15,3.4352362042825224e-14,non-significant,1.974197173118589
SH2B2,7.8882866,7.057538,1.1177108,0.16054699,8.782252311706543,6.240475530236911e-15,3.4518602434451026e-14,non-significant,1.974197173118589
IGHG1,14.655161,12.840671,1.1413081,0.19068828,8.54888916015625,6.273325159568388e-15,3.469684775723798e-14,non-significant,1.974197173118589
ZBTB8OS,9.95834,9.58694,1.0387402,0.054834805,8.661917686462402,6.300067136740146e-15,3.4841280377426565e-14,non-significant,1.974197173118589
SLC25A16,10.561274,11.212018,0.9419601,-0.08626215,-8.768964767456055,6.303974099904005e-15,3.4859412245856094e-14,non-significant,1.974197173118589
NLRP2B,1.8301814,2.5809357,0.70911545,-0.4959076,-8.624601364135742,6.314205995761444e-15,3.491251232258769e-14,non-significant,1.974197173118589
GOLT1A,8.207662,6.4783382,1.2669394,0.34134752,8.91051197052002,6.347594326947759e-15,3.509362563617954e-14,non-significant,1.974197173118589
LINC02454,1.6458328,2.7067025,0.6080583,-0.7177185,-8.797548294067383,6.348310381710835e-15,3.509408728351107e-14,non-significant,1.974197173118589
DNHD1,8.725994,9.371397,0.9311305,-0.10294467,-8.647756576538086,6.3509016181176284e-15,3.510491399553313e-14,non-significant,1.974197173118589
AC013403.2,3.8616223,4.556708,0.84745884,-0.2387848,-8.719657897949219,6.359933963069276e-15,3.515133854065386e-14,non-significant,1.974197173118589
DCC,3.3558366,4.4098463,0.7609872,-0.39405587,-8.677876472473145,6.4445296304559315e-15,3.5615350522730855e-14,non-significant,1.974197173118589
AC092814.2,2.6886117,1.7834598,1.5075259,0.5921828,8.78602123260498,6.461550758512734e-15,3.570586016755842e-14,non-significant,1.974197173118589
ZBBX,2.4023829,1.3002169,1.8476785,0.88571376,8.484136581420898,6.462525476939188e-15,3.570768981780561e-14,non-significant,1.974197173118589
AC105020.5,2.7168105,3.4050245,0.7978828,-0.32575127,-8.61315631866455,6.4689122386857814e-15,3.5738573758854156e-14,non-significant,1.974197173118589
AC124861.1,0.50603604,1.5116956,0.3347473,-1.5788556,-8.895990371704102,6.469403321199933e-15,3.5738573758854156e-14,downregulated,1.974197173118589
MUC6,6.176059,8.647253,0.7142221,-0.48555538,-8.576149940490723,6.538343273767215e-15,3.611581887978944e-14,non-significant,1.974197173118589
DENR,12.361212,11.960017,1.0335447,0.047600728,8.582755088806152,6.592258010599616e-15,3.6410002431863284e-14,non-significant,1.974197173118589
APOM,6.5388894,6.996219,0.9346319,-0.097529836,-8.432326316833496,6.620898540061416e-15,3.6564548178638996e-14,non-significant,1.974197173118589
AC012417.1,0.8209065,1.6631936,0.49357244,-1.0186663,-8.799741744995117,6.660733371797661e-15,3.678087861723243e-14,downregulated,1.974197173118589
NEMP2,8.581679,9.042245,0.94906515,-0.075420976,-8.598868370056152,6.6744917387495985e-15,3.685318487916279e-14,non-significant,1.974197173118589
AL512308.1,0.76092696,2.026929,0.3754088,-1.4134656,-8.9317045211792,6.688070167474624e-15,3.692448332087692e-14,downregulated,1.974197173118589
SOX4,13.502322,12.633116,1.0688038,0.09599702,8.815717697143555,6.724350591384498e-15,3.712109162288676e-14,non-significant,1.974197173118589
CDH17,3.5832686,4.537799,0.78964907,-0.34071645,-8.686258316040039,6.737401868408965e-15,3.7189439424866124e-14,non-significant,1.974197173118589
RNF40,12.110544,11.470518,1.0557975,0.0783331,8.697029113769531,6.743213175264171e-15,3.721781406323679e-14,non-significant,1.974197173118589
AC010168.2,8.334649,7.2926865,1.1428777,0.19267102,8.666057586669922,6.804638648347487e-15,3.755310377104532e-14,non-significant,1.974197173118589
CSH2,0.29962197,0.036363635,8.239602,3.0425746,7.941315174102783,6.8167150839644025e-15,3.7616008838108716e-14,upregulated,1.974197173118589
BLNK,9.701552,8.801208,1.1022979,0.14051418,8.793974876403809,6.8493407457139215e-15,3.779228489032406e-14,non-significant,1.974197173118589
PKD1P6,7.3504386,8.003904,0.9183566,-0.122873634,-8.545225143432617,6.876769096155195e-15,3.793985177552608e-14,non-significant,1.974197173118589
AL035412.1,0.34541702,0.06895421,5.009368,2.3246286,8.202546119689941,6.8805595309527026e-15,3.7956989437929394e-14,upregulated,1.974197173118589
AADACL3,0.36007458,2.0389,0.17660238,-2.5014234,-8.973345756530762,6.901108477225902e-15,3.806656376183069e-14,downregulated,1.974197173118589
LBHD2,0.9396357,2.1603127,0.43495357,-1.2010667,-8.838682174682617,6.959420436614002e-15,3.838439664214582e-14,downregulated,1.974197173118589
AC108860.1,1.5570186,0.7526607,2.068686,1.0487146,8.663992881774902,6.988667329614509e-15,3.854187509413648e-14,upregulated,1.974197173118589
AKT3-IT1,0.6145683,1.4588724,0.42126253,-1.2472085,-8.791110038757324,7.036228993592855e-15,3.880031652564671e-14,downregulated,1.974197173118589
C5orf49,6.818476,5.6632175,1.2039933,0.2678274,8.602555274963379,7.045939584195857e-15,3.885000279578475e-14,non-significant,1.974197173118589
GCKR,2.7939107,3.5862923,0.77905273,-0.3602071,-8.631522178649902,7.048177239689398e-15,3.885847890867214e-14,non-significant,1.974197173118589
USF2,12.674955,12.225703,1.0367465,0.05206318,8.665356636047363,7.065688365342075e-15,3.895115168016478e-14,non-significant,1.974197173118589
AC107031.1,1.3094873,0.5652137,2.3168006,1.2121339,8.483838081359863,7.073337153357033e-15,3.8989443146373386e-14,upregulated,1.974197173118589
TMEM70,10.556081,10.064025,1.0488925,0.06886682,8.584503173828125,7.09238479417771e-15,3.9090553187063314e-14,non-significant,1.974197173118589
Z97353.2,1.7810521,2.6677558,0.66762185,-0.58289695,-8.731017112731934,7.101028114624304e-15,3.913430414218301e-14,non-significant,1.974197173118589
SLC25A17,10.934584,10.441996,1.0471737,0.06650083,8.692822456359863,7.114040152110699e-15,3.9202120345560346e-14,non-significant,1.974197173118589
ANKRD20A7P,1.5996281,3.364117,0.4754972,-1.0724913,-8.811213493347168,7.132852754672019e-15,3.930188408274939e-14,downregulated,1.974197173118589
SRSF3P1,1.9786227,2.7701833,0.71425694,-0.48548496,-8.735610008239746,7.24580608774163e-15,3.9920290143784074e-14,non-significant,1.974197173118589
NOLC1,12.966772,12.426912,1.0434428,0.06135158,8.694817543029785,7.279487117474595e-15,4.0101871241931344e-14,non-significant,1.974197173118589
NPTN-IT1,5.279524,6.43199,0.8208228,-0.28485733,-8.681055068969727,7.30439359786368e-15,4.0235083082751884e-14,non-significant,1.974197173118589
AL353699.1,0.41957358,1.3835814,0.30325183,-1.7214117,-8.878447532653809,7.310808062797625e-15,4.026641827896478e-14,downregulated,1.974197173118589
PWRN1,0.63806105,1.8383613,0.34708142,-1.526654,-8.875469207763672,7.317694469468138e-15,4.030034635359264e-14,downregulated,1.974197173118589
TRAF6,10.324862,10.752267,0.9602497,-0.058518454,-8.584394454956055,7.329084890565971e-15,4.0359069948248145e-14,non-significant,1.974197173118589
C1QTNF8,0.38302323,0.08181818,4.681395,2.2269385,8.088160514831543,7.336817751036052e-15,4.039764279748712e-14,upregulated,1.974197173118589
ZNF883,4.119489,5.04833,0.8160103,-0.29334074,-8.457459449768066,7.342683205283019e-15,4.042592678665296e-14,non-significant,1.974197173118589
TMEM192,10.872746,11.309813,0.96135515,-0.056858595,-8.445622444152832,7.363601441010638e-15,4.0537071635966485e-14,non-significant,1.974197173118589
DENND1C,9.927645,8.833221,1.1238985,0.16851176,8.905045509338379,7.367377797927257e-15,4.055383671286876e-14,non-significant,1.974197173118589
NUCB2,12.914305,12.262256,1.0531753,0.07474563,8.528022766113281,7.404244805665468e-15,4.075272835499208e-14,non-significant,1.974197173118589
AC093909.5,0.14751191,1.1084569,0.13307863,-2.9096491,-8.970403671264648,7.501225179013935e-15,4.128240977399991e-14,downregulated,1.974197173118589
ZNF426,10.238772,10.726886,0.95449626,-0.067188546,-8.522181510925293,7.51364081133005e-15,4.134663679950319e-14,non-significant,1.974197173118589
COX6B1P5,1.6883881,0.87764955,1.9237611,0.9439297,8.70739459991455,7.514823258686446e-15,4.134904238737717e-14,non-significant,1.974197173118589
LINC02577,1.5783062,0.7123993,2.2154796,1.147619,8.4364652633667,7.585816269225887e-15,4.173553020791871e-14,upregulated,1.974197173118589
AC097478.1,0.9758707,2.1432042,0.45533258,-1.1350074,-8.784067153930664,7.597519548507692e-15,4.179577437295059e-14,downregulated,1.974197173118589
AZIN2,9.139761,8.504423,1.0747068,0.10394311,8.716432571411133,7.600474479832285e-15,4.180788460649367e-14,non-significant,1.974197173118589
SCAMP5,10.141756,9.383661,1.0807889,0.112084694,8.644403457641602,7.60258564644702e-15,4.181535160750279e-14,non-significant,1.974197173118589
AC004540.2,3.962555,4.8738985,0.81301546,-0.2986453,-8.6295166015625,7.603578924186336e-15,4.18166691825791e-14,non-significant,1.974197173118589
AC141557.1,3.8913472,4.9435186,0.7871614,-0.34526858,-8.677300453186035,7.606216886763581e-15,4.182703071440614e-14,non-significant,1.974197173118589
KRT18P1,1.4667048,0.73634946,1.9918597,0.994116,8.624800682067871,7.613394140133502e-15,4.186234954356855e-14,upregulated,1.974197173118589
TRIM6,8.016561,8.622945,0.92967784,-0.10519722,-8.39024543762207,7.616111157624913e-15,4.187313913636212e-14,non-significant,1.974197173118589
TCOF1,11.653656,11.175894,1.0427494,0.060392488,8.657858848571777,7.62350305931644e-15,4.190962641011455e-14,non-significant,1.974197173118589
LCN12,6.2495875,4.969281,1.2576442,0.33072382,8.661957740783691,7.649789784459562e-15,4.2049969012366645e-14,non-significant,1.974197173118589
AC243967.2,1.4573405,0.68733144,2.120288,1.0842602,8.562600135803223,7.663885391028452e-15,4.212327734240722e-14,upregulated,1.974197173118589
AC145124.1,3.5049927,4.5829406,0.76479125,-0.38686207,-8.688912391662598,7.700201211185042e-15,4.2318688776279955e-14,non-significant,1.974197173118589
TARBP1,11.690106,11.084299,1.0546546,0.076770596,8.628280639648438,7.753366610486034e-15,4.2606654075848374e-14,non-significant,1.974197173118589
LINC02278,2.7260165,1.6871481,1.6157541,0.6922077,8.547386169433594,7.75922787226039e-15,4.2634640225117004e-14,non-significant,1.974197173118589
CABP7,3.2502923,2.4006298,1.3539332,0.43715656,8.452652931213379,7.769318864550073e-15,4.268585963609013e-14,non-significant,1.974197173118589
RALGPS2,11.740318,10.789716,1.0881027,0.12181473,8.591814994812012,7.77837993339745e-15,4.273053271320679e-14,non-significant,1.974197173118589
AL671883.1,2.6276305,1.4263514,1.8422041,0.8814329,8.59492301940918,7.77969101682724e-15,4.273053271320679e-14,non-significant,1.974197173118589
DYRK1B,10.64387,10.155651,1.0480736,0.0677401,8.535889625549316,7.779760471090515e-15,4.273053271320679e-14,non-significant,1.974197173118589
ARHGAP33,9.295788,8.535318,1.0890968,0.12313217,8.665914535522461,7.79886679805558e-15,4.283123440468458e-14,non-significant,1.974197173118589
C5,8.67021,9.372613,0.92505795,-0.11238436,-8.61445140838623,7.862481688338615e-15,4.317633218539309e-14,non-significant,1.974197173118589
LINC00115,4.5613155,3.8608263,1.1814351,0.24054039,8.6970796585083,7.909463366627296e-15,4.343003044145709e-14,non-significant,1.974197173118589
DCAF8L2,0.5024555,0.08097173,6.205319,2.6335053,8.011807441711426,7.9128059117174e-15,4.3444084312922446e-14,upregulated,1.974197173118589
AL034548.2,5.6833425,5.148367,1.1039116,0.14262469,8.475333213806152,7.934096179092793e-15,4.355666495310391e-14,non-significant,1.974197173118589
NELFB,12.055317,11.658565,1.034031,0.048279483,8.552072525024414,7.995473302034976e-15,4.38892706833779e-14,non-significant,1.974197173118589
MIR3156-2,0.22654547,0.018181818,12.459995,3.6392317,7.895216464996338,8.020286365461125e-15,4.402112065253099e-14,upregulated,1.974197173118589
AC084782.2,1.4770559,2.4908402,0.59299505,-0.75390804,-8.752573013305664,8.023401291671894e-15,4.403386127826261e-14,non-significant,1.974197173118589
GRASLND,6.104308,5.1826115,1.177844,0.23614854,8.588282585144043,8.098021601933015e-15,4.443899490358493e-14,non-significant,1.974197173118589
REPS2,11.269426,10.505757,1.0726905,0.10123386,8.33044147491455,8.12006955231194e-15,4.4555578949882943e-14,non-significant,1.974197173118589
PTPN5,3.7744744,4.802393,0.785957,-0.34747773,-8.645650863647461,8.177788444554618e-15,4.486785036628661e-14,non-significant,1.974197173118589
SHF,7.819521,8.471654,0.92302173,-0.11556348,-8.643145561218262,8.21466214742534e-15,4.506570314833955e-14,non-significant,1.974197173118589
CAPN1,13.593079,13.111165,1.0367559,0.052076284,8.61821174621582,8.231588182382484e-15,4.5154094557897985e-14,non-significant,1.974197173118589
ESYT2,13.114714,13.542614,0.9684034,-0.04631995,-8.54396915435791,8.233506488413438e-15,4.516015224687865e-14,non-significant,1.974197173118589
B3GNT4,4.5535865,3.6278715,1.2551675,0.3278799,8.590145111083984,8.263352697307398e-15,4.531937600302634e-14,non-significant,1.974197173118589
MRPL49,12.001488,11.572924,1.0370317,0.05245993,8.532759666442871,8.305316635816313e-15,4.554501996195404e-14,non-significant,1.974197173118589
APH1B,10.306484,10.844078,0.95042515,-0.073355086,-8.413935661315918,8.31691460715938e-15,4.5604113698873535e-14,non-significant,1.974197173118589
AL391001.1,6.611197,5.835009,1.1330225,0.18017657,8.459261894226074,8.47756907183101e-15,4.648043602185833e-14,non-significant,1.974197173118589
AC241377.4,1.4576366,2.5326493,0.5755383,-0.7970162,-8.74778938293457,8.518280839111091e-15,4.669903369109519e-14,non-significant,1.974197173118589
CDKN2C,9.831112,10.838797,0.9070298,-0.14077812,-8.808675765991211,8.553975568010017e-15,4.6890086405809285e-14,non-significant,1.974197173118589
KCTD15,10.969772,10.389574,1.0558443,0.07839711,8.551669120788574,8.589958174695642e-15,4.7082679266164216e-14,non-significant,1.974197173118589
AC006030.1,0.9386989,1.8052349,0.5199871,-0.94345224,-8.785279273986816,8.598429524039057e-15,4.712445618825318e-14,non-significant,1.974197173118589
AC004160.2,1.6070151,3.188609,0.5039863,-0.98854357,-8.870903968811035,8.60277709109496e-15,4.714362633484279e-14,downregulated,1.974197173118589
HACD3,13.576799,12.903357,1.0521913,0.073396966,8.637319564819336,8.621964083583268e-15,4.724410541799503e-14,non-significant,1.974197173118589
F2R,11.826576,11.079648,1.0674144,0.09412038,8.584355354309082,8.634618291996684e-15,4.730877175982383e-14,non-significant,1.974197173118589
LINC01788,2.6683698,1.494937,1.784938,0.83587396,8.641960144042969,8.65481980884954e-15,4.741477268638022e-14,non-significant,1.974197173118589
LINC01128,9.62256,10.17488,0.9457173,-0.08051915,-8.70352554321289,8.664395542887015e-15,4.74625458846141e-14,non-significant,1.974197173118589
CHKB-DT,7.2978215,6.64384,1.0984343,0.13544862,8.652653694152832,8.685921683346874e-15,4.757576611630809e-14,non-significant,1.974197173118589
AL031320.2,3.1295147,3.9623435,0.7898141,-0.34041494,-8.662702560424805,8.696566860763497e-15,4.762937111896928e-14,non-significant,1.974197173118589
TMEM155,3.1803768,1.9491339,1.6316872,0.7063645,8.792830467224121,8.704852171624732e-15,4.767004229412103e-14,non-significant,1.974197173118589
CFAP70,7.3349557,8.163325,0.8985255,-0.15436868,-8.480305671691895,8.739477158380387e-15,4.7854934143993666e-14,non-significant,1.974197173118589
AC100810.1,9.148904,9.644782,0.94858587,-0.07614972,-8.427414894104004,8.747041821688429e-15,4.7891629356288765e-14,non-significant,1.974197173118589
AP4S1,8.886631,9.34708,0.9507387,-0.072879165,-8.594764709472656,8.769525011752016e-15,4.8009990887310226e-14,non-significant,1.974197173118589
SNORD3A,5.57553,4.540362,1.2279924,0.29630166,8.458292961120605,8.782956222121707e-15,4.8078777622428446e-14,non-significant,1.974197173118589
AL023806.1,2.9866953,3.7741017,0.79136586,-0.33758327,-8.649955749511719,8.794243965638083e-15,4.8135818391239226e-14,non-significant,1.974197173118589
RPL7AP28,2.445033,3.8769643,0.6306566,-0.6650734,-8.724902153015137,8.818572205489404e-15,4.826421879851555e-14,non-significant,1.974197173118589
AL590787.1,1.8493801,2.5302582,0.7309057,-0.4522428,-8.516620635986328,8.824161643027953e-15,4.8290046158531355e-14,non-significant,1.974197173118589
LINC02593,6.8076534,5.6292048,1.2093455,0.27422643,8.431832313537598,8.926358432096176e-15,4.884449805825977e-14,non-significant,1.974197173118589
BOK,10.879786,11.862114,0.91718775,-0.124711014,-8.77497386932373,9.156884856635633e-15,5.010098341677958e-14,non-significant,1.974197173118589
AC018752.1,2.9671397,4.0118847,0.7395875,-0.43520728,-8.637369155883789,9.160616796042419e-15,5.0116459899855375e-14,non-significant,1.974197173118589
AP000919.3,1.6287037,2.552078,0.6381873,-0.6479482,-8.727737426757812,9.161717161943834e-15,5.011753777801656e-14,non-significant,1.974197173118589
AC003986.3,0.92547137,2.0630674,0.44858998,-1.1565307,-8.80161190032959,9.33859240148207e-15,5.108006570385736e-14,downregulated,1.974197173118589
CCN5,9.651944,11.334039,0.85158914,-0.23177055,-8.740452766418457,9.352496495989694e-15,5.1151075078618715e-14,non-significant,1.974197173118589
FCGRT,12.67057,13.213971,0.9588768,-0.060582645,-8.430742263793945,9.375516196381548e-15,5.127192100298159e-14,non-significant,1.974197173118589
ARL4D,8.317447,8.896915,0.9348686,-0.097164534,-8.378994941711426,9.459371748523283e-15,5.1725403568704094e-14,non-significant,1.974197173118589
RPL37P2,5.194177,5.9992785,0.8658003,-0.20789376,-8.558124542236328,9.46313783841101e-15,5.1740897533758035e-14,non-significant,1.974197173118589
RPS25P3,1.469129,2.4781816,0.5928254,-0.7543208,-8.74325942993164,9.471753200897769e-15,5.1782899840934986e-14,non-significant,1.974197173118589
INSC,2.157972,3.29974,0.65398246,-0.61267614,-8.646098136901855,9.489702768990902e-15,5.187591975796781e-14,non-significant,1.974197173118589
AC084855.1,1.1408893,2.1673923,0.526388,-0.9258015,-8.777153015136719,9.519782298247307e-15,5.2035223833178385e-14,non-significant,1.974197173118589
AC005592.1,1.2787892,2.2959557,0.55697465,-0.8443164,-8.697896957397461,9.544650339400392e-15,5.21660132824287e-14,non-significant,1.974197173118589
AC119751.4,0.7340635,0.2090909,3.5107384,1.8117745,8.125065803527832,9.550482267900703e-15,5.2192745884863177e-14,upregulated,1.974197173118589
TARID,1.1709613,2.1622143,0.54155654,-0.8848161,-8.652341842651367,9.553876042694437e-15,5.220615018700752e-14,non-significant,1.974197173118589
AC073283.2,3.424228,2.3134377,1.480147,0.56574047,8.430164337158203,9.578853076406106e-15,5.2337479680816497e-14,non-significant,1.974197173118589
FAM241B,9.262514,8.307712,1.1149297,0.15695271,8.791875839233398,9.602199027687669e-15,5.2459872186717074e-14,non-significant,1.974197173118589
AC012306.3,6.01697,6.4913297,0.9269241,-0.10947687,-8.531533241271973,9.611737742097733e-15,5.250681468408647e-14,non-significant,1.974197173118589
AC138150.1,2.7168036,3.688645,0.7365316,-0.44118065,-8.630263328552246,9.662624843979839e-15,5.277960286935133e-14,non-significant,1.974197173118589
RANBP1P1,3.8643715,3.2180529,1.2008415,0.2640458,8.586883544921875,9.705056738049163e-15,5.3006157494287025e-14,non-significant,1.974197173118589
ANKRD36C,7.3132677,8.455375,0.8649253,-0.20935251,-8.752889633178711,9.714779513682917e-15,5.3054037544948146e-14,non-significant,1.974197173118589
AC079075.1,1.7247615,2.8028052,0.61536974,-0.7004746,-8.70492935180664,9.716691908333499e-15,5.3059258570309305e-14,non-significant,1.974197173118589
FOXD2-AS1,7.0421705,6.322268,1.1138678,0.15557796,8.57376766204834,9.775512603127889e-15,5.3375203151415737e-14,non-significant,1.974197173118589
AL158071.4,4.5575504,5.510271,0.82710093,-0.2738647,-8.679767608642578,9.780992314777531e-15,5.339986750874409e-14,non-significant,1.974197173118589
ANKHD1-EIF4EBP3,5.5396404,6.0991426,0.9082655,-0.13881406,-8.588736534118652,9.81570539099444e-15,5.357985096262932e-14,non-significant,1.974197173118589
AC239799.1,2.5754972,1.6277391,1.5822543,0.66198146,8.600054740905762,9.815890504400945e-15,5.357985096262932e-14,non-significant,1.974197173118589
GNG8,2.133411,1.1851933,1.8000531,0.8480395,8.665291786193848,9.826861241911179e-15,5.363445761940307e-14,non-significant,1.974197173118589
MGAT4EP,3.4001446,2.2465508,1.5134956,0.5978844,8.613595962524414,9.84180158054902e-15,5.3710717262331266e-14,non-significant,1.974197173118589
JMY,10.663541,11.245411,0.9482571,-0.07664984,-8.588007926940918,9.849748903674407e-15,5.374880192543091e-14,non-significant,1.974197173118589
PTTG1IP,14.307748,13.88133,1.0307188,0.043650795,8.609644889831543,9.861292271717006e-15,5.380650031814118e-14,non-significant,1.974197173118589
EMC1-AS1,3.4705958,3.9789548,0.87223804,-0.19720618,-8.456480979919434,9.878224759820079e-15,5.3893589308173664e-14,non-significant,1.974197173118589
AL136040.2,0.9836106,1.9126009,0.51427907,-0.9593767,-8.771910667419434,9.886136440941478e-15,5.393145031892165e-14,non-significant,1.974197173118589
FMO3,6.914556,7.9775023,0.866757,-0.20630056,-8.571471214294434,9.951788634039938e-15,5.428426245369538e-14,non-significant,1.974197173118589
AL157996.2,2.738282,1.6576341,1.6519217,0.72414535,8.52863883972168,9.967167821532573e-15,5.4362806796955086e-14,non-significant,1.974197173118589
AC092143.3,2.8228683,1.8624948,1.5156382,0.59992546,8.648494720458984,9.971400377952337e-15,5.438054585361208e-14,non-significant,1.974197173118589
ACSM4,3.3201945,4.287295,0.77442646,-0.36879984,-8.449370384216309,1.0010054505784767e-14,5.458598623756033e-14,non-significant,1.974197173118589
ADAMTSL1,8.337527,9.331778,0.89345545,-0.16253231,-8.70687198638916,1.003105076208631e-14,5.469510528555759e-14,non-significant,1.974197173118589
FBXO8,10.156239,10.566778,0.9611481,-0.05716937,-8.514718055725098,1.0047399946882602e-14,5.477886684876638e-14,non-significant,1.974197173118589
LAMTOR4,11.594989,11.096972,1.0448786,0.06333533,8.531842231750488,1.0074436389737773e-14,5.492087362706609e-14,non-significant,1.974197173118589
COPZ2,9.535131,10.424418,0.9146919,-0.12864217,-8.65696907043457,1.009789350058577e-14,5.504334165970707e-14,non-significant,1.974197173118589
DOK7,7.638108,5.9294233,1.2881705,0.36532348,8.580519676208496,1.0177978123512182e-14,5.5474430326402976e-14,non-significant,1.974197173118589
AC025280.2,1.7549604,3.1172535,0.5629829,-0.8288369,-8.804409980773926,1.0225330341847728e-14,5.5727045910187815e-14,non-significant,1.974197173118589
RBM5,11.782371,12.252392,0.9616384,-0.0564336,-8.604547500610352,1.0236045672047898e-14,5.5779964039408446e-14,non-significant,1.974197173118589
RRBP1,14.111764,13.479935,1.0468718,0.06608476,8.683345794677734,1.0267907010337216e-14,5.594809280431239e-14,non-significant,1.974197173118589
AC074194.1,2.2708077,3.1988072,0.70989203,-0.49432847,-8.569063186645508,1.0325183383207163e-14,5.6254657183573935e-14,non-significant,1.974197173118589
NPM1P9,2.771779,1.9137703,1.4483342,0.5343945,8.643193244934082,1.0361256132745118e-14,5.644564908137266e-14,non-significant,1.974197173118589
AC022211.1,3.0354815,2.0433383,1.4855502,0.5709973,8.658870697021484,1.0382142113295629e-14,5.6553877706984923e-14,non-significant,1.974197173118589
BHLHE22,6.0346375,6.949627,0.8683398,-0.20366843,-8.532278060913086,1.0403066648097121e-14,5.66622950752433e-14,non-significant,1.974197173118589
RTCA,10.927884,10.575096,1.0333602,0.047343284,8.468083381652832,1.0486319111354652e-14,5.711013883360715e-14,non-significant,1.974197173118589
BX322234.1,6.341424,6.898407,0.9192592,-0.1214564,-8.36507797241211,1.0497778597041548e-14,5.716693723634326e-14,non-significant,1.974197173118589
DNAJC27-AS1,6.461467,6.9428205,0.93066883,-0.1036602,-8.392683029174805,1.0535515925571096e-14,5.736680965263366e-14,non-significant,1.974197173118589
AP003973.2,0.8645067,1.8168344,0.4758313,-1.0714779,-8.77181339263916,1.0596544053156017e-14,5.769345084093187e-14,downregulated,1.974197173118589
AC016705.3,0.9638672,0.31665185,3.0439336,1.6059369,8.286029815673828,1.0615793915158825e-14,5.779258624404e-14,upregulated,1.974197173118589
