gene,log2FC,FDR,direction
AC083967.1,1.8470247,2.987640095049574e-48,upregulated
AC108477.1,-1.3005792,6.429125909217737e-56,downregulated
AC112777.1,1.2920021,3.104111299502561e-44,upregulated
AL356275.1,-1.7798032,1.4830198814674003e-38,downregulated
ARHGAP16P,3.7749689,2.6442742954229235e-63,upregulated
CST4,3.131563,5.774180593081298e-103,upregulated
SLC6A2,-1.2926903,3.4463693729212686e-107,downregulated
TRPM3,-1.0360464,3.349963982756123e-61,downregulated
