panel,model,Mean CV AUC,SD AUC,Notes
Statistics panel (158),LDA (linear baseline),0.9821,0.0323,"linear baseline, shrinkage"
Statistics panel (158),Logistic Regression,0.9942,0.0071,"linear, class weight"
Statistics panel (158),Random Forest,0.9832,0.0086,"trees, class weight"
Machine learning panel (16),LDA (linear baseline),0.9948,0.0052,"linear baseline, shrinkage"
Machine learning panel (16),Logistic Regression,0.9948,0.0064,"linear, class weight"
Machine learning panel (16),Random Forest,0.9907,0.0077,"trees, class weight"
