model,Accuracy,Precision,Recall,F1,ROC-AUC,confusion_matrix
WELM,0.8974,1.0,0.8857,0.9394,0.9857,"[[4, 0], [4, 31]]"
BWELM,0.8974,1.0,0.8857,0.9394,0.9357,"[[4, 0], [4, 31]]"
