gene,log2FC,FDR,direction
CYP4F2,-1.7434096406400652,4.9566001546843714e-05,down
PADI2,-1.7437991703789635,7.01525810673339e-07,down
NAT8,-1.7750547195258992,5.340639977251524e-09,down
B4GALNT2,-1.7914687071828768,2.7677218151347674e-11,down
SLC17A4,-1.808761747273782,2.601527777977908e-08,down
MT1H,-1.8123787014487274,7.790979932383154e-14,down
CUBN,-1.8533752560465118,0.00030152076019333965,down
BMP3,-1.8572945099978835,5.103139794142354e-10,down
CREB3L3,-1.876475336536469,0.0021406579167938893,down
TMEM252,-1.8833407203964034,2.9248798646890843e-07,down
G6PC,-1.8959560052991522,0.00046997043818625594,down
TRPM6,-1.9032918248794894,2.986335527848455e-09,down
SLC6A19,-1.9093239329645808,0.002640306177434471,down
CLDN8,-1.9290407343530651,5.006334104770808e-05,down
PAQR5,-1.9604927820972522,2.846336850516547e-19,down
NAALADL1,-1.9617943858816052,9.79808622227861e-06,down
OTOP2,-1.966501554614168,4.675596644863127e-10,down
GUCA2B,-1.9680482865718734,1.1000946772948507e-13,down
CNTFR,-1.9838683674466129,3.046575288020697e-23,down
SLC10A2,-2.0080943626522227,0.00025386498242941746,down
XPNPEP2,-2.0138765800565537,0.0020830731941740054,down
CYP2B7P,-2.0399884059365743,2.983303008799989e-09,down
SLC5A12,-2.0504663295401677,0.0022487431048569574,down
CDHR1,-2.0729663970486234,6.711243453743233e-11,down
MS4A10,-2.0744023557970417,0.003649806222376901,down
ABCB1,-2.1104216521945016,1.3972527143571472e-07,down
AQP8,-2.1404992344154357,1.601429215161069e-05,down
PCK1,-2.220152227290166,4.402361681343017e-06,down
GUCA2A,-2.230259801752112,1.5876013400562174e-07,down
PRKG2,-2.2524570355274847,6.392515447131811e-07,down
MT1M,-2.3116768261797063,1.950883526282086e-13,down
CYP3A4,-2.3296145230311858,0.0038455098562694312,down
SLC26A2,-2.3352984540919692,3.1598813343546155e-08,down
SLC13A1,-2.5163101544624684,7.772739025180518e-05,down
HMGCS2,-2.5319921614873095,5.227199283012274e-08,down
UGT2A3,-2.5900601611168046,1.280849148729562e-05,down
CYP2B6,-2.6850033112711422,2.6956431892081557e-10,down
ABCG2,-2.7745209469735714,2.0287513157439903e-08,down
TMIGD1,-2.821645008708775,1.931111538862952e-08,down
MEP1B,-2.8415308424471455,0.0002998035048610599,down
