gene,log2FC,FDR,direction
CATSPERB,1.3997564863150105,2.083880445613229e-08,up
PI15,1.396428970508981,0.0027243528327108063,up
VCAN,1.3907618855639532,2.753179283120941e-07,up
CFB,1.3895896747748449,4.410599241023786e-08,up
CALCRL,1.3879959585058197,5.119298247941394e-07,up
GREM1,1.3873854319154333,1.975457895683947e-05,up
SLPI,1.3855378415364745,0.000618012224036001,up
DRAM1,1.3814141588123716,8.630714478452055e-10,up
DAPP1,1.377512949264803,8.043299953566896e-10,up
MMP2,1.371809633215113,2.142924626945918e-06,up
FSTL1,1.371329822707712,4.988719940278792e-08,up
EDNRA,1.3679954345692362,7.307268721677653e-07,up
BACE2,1.3638078576109933,1.7387337658439853e-17,up
CD274,1.362697542057611,1.9288054493891645e-06,up
NCF2,1.3496154976231507,2.20178721978642e-06,up
IGKC,1.349288128031711,7.345142929935907e-10,up
CCL18,1.3450392474814974,0.0016984970248893208,up
IGHD,1.3408213980322543,1.0750087940468332e-10,up
IGHV3-75,1.3358064547251658,3.058686479315908e-11,up
IGHV3-30,1.3358064547251658,3.058686479315908e-11,up
IGHG2,1.3358064547251658,3.058686479315908e-11,up
C4BPB,1.3303212826305506,4.9920242984099015e-08,up
ADGRL2,1.3237711486781185,3.462610102145588e-08,up
COL1A2,1.3221439945882665,6.847088497314923e-08,up
PFKFB3,1.3220437786659662,1.2505962904176012e-08,up
SLC2A3,1.3212958294122688,1.0787396514356361e-06,up
COL1A1,1.3185838929989426,6.086636921476201e-08,up
C14orf99,1.317528310988374,2.6629482840386303e-11,up
IGHV3-69-1,1.317528310988374,2.6629482840386303e-11,up
IGLJ3,1.317528310988374,2.6629482840386303e-11,up
SCFV,1.317528310988374,2.6629482840386303e-11,up
IGHV3-48,1.317528310988374,2.6629482840386303e-11,up
IGHM,1.317528310988374,2.6629482840386303e-11,up
IGK,1.317528310988374,2.6629482840386303e-11,up
IGHV4-31,1.317528310988374,2.6629482840386303e-11,up
IGHV3OR16-7,1.317528310988374,2.6629482840386303e-11,up
IGKV3-20,1.317528310988374,2.6629482840386303e-11,up
IGHV3-23,1.317528310988374,2.6629482840386303e-11,up
IGHA1,1.317528310988374,2.6629482840386303e-11,up
IGHG1,1.317528310988374,2.6629482840386303e-11,up
BGN,1.3140498546543329,3.1355939618208225e-06,up
CXCR2,1.3125663039815016,9.455557904886079e-06,up
TFF1,1.3119062093298126,3.14488277586704e-07,up
ANGPTL2,1.3052590991279,1.0135367688487533e-07,up
C4B_2,1.3048248576379455,5.0264114179618095e-09,up
C4B,1.3048248576379455,5.0264114179618095e-09,up
C4A,1.3048248576379455,5.0264114179618095e-09,up
FCGR1A,1.3041106752933436,2.7631807472317654e-06,up
FCGR1B,1.3041106752933436,2.7631807472317654e-06,up
FCGR1CP,1.3041106752933436,2.7631807472317654e-06,up
RAB31,1.3040392377103611,4.097946606854426e-07,up
TDO2,1.298611015713,0.0004477648580522715,up
IER3,1.2982955856469296,5.769290210957934e-08,up
ADGRF1,1.2924141267854097,4.709838563135171e-05,up
TRIB2,1.2917819423007417,5.580611968808847e-12,up
INHBA,1.2897866005850984,9.015432971308216e-05,up
