"","SpeciesName","Species","Genus","Family","WoodDensity","TaxonName"
"1","Avicennia germinans","germinans","Avicennia","Acanthaceae",0.766487619047619,"Acanthaceae_Avicennia_germinans"
"2","Avicennia nitida","germinans","Avicennia","Acanthaceae",0.9,"Acanthaceae_Avicennia_germinans"
"3","Avicennia alba","marina","Avicennia","Acanthaceae",0.586666666666667,"Acanthaceae_Avicennia_marina"
"4","Avicennia intermedia","marina","Avicennia","Acanthaceae",0.64,"Acanthaceae_Avicennia_marina"
"5","Avicennia marina","marina","Avicennia","Acanthaceae",0.629395238095238,"Acanthaceae_Avicennia_marina"
"6","Bravaisia integerrima","integerrima","Bravaisia","Acanthaceae",0.45,"Acanthaceae_Bravaisia_integerrima"
"7","Carpotroche longifolia","longifolia","Carpotroche","Achariaceae",0.45,"Achariaceae_Carpotroche_longifolia"
"8","Kiggelaria africana","africana","Kiggelaria","Achariaceae",0.63289,"Achariaceae_Kiggelaria_africana"
"9","Pangium edule","edule","Pangium","Achariaceae",0.502398,"Achariaceae_Pangium_edule"
"10","Saurauia roxburghii","roxburghii","Saurauia","Actinidiaceae",0.578728,"Actinidiaceae_Saurauia_roxburghii"
"11","Saurauia tristyla","tristyla","Saurauia","Actinidiaceae",0.332900285714286,"Actinidiaceae_Saurauia_tristyla"
"12","Saurauia yasicae","yasicae","Saurauia","Actinidiaceae",0.402974448333333,"Actinidiaceae_Saurauia_yasicae"
"13","Sambucus canadensis","canadensis","Sambucus","Adoxaceae",0.475,"Adoxaceae_Sambucus_canadensis"
"14","Sambucus mexicana","canadensis","Sambucus","Adoxaceae",0.45,"Adoxaceae_Sambucus_canadensis"
"15","Sambucus nigra","nigra","Sambucus","Adoxaceae",0.2919274625,"Adoxaceae_Sambucus_nigra"
"16","Sambucus peruviana","peruviana","Sambucus","Adoxaceae",0.429,"Adoxaceae_Sambucus_peruviana"
"17","Viburnum costaricanum","costaricanum","Viburnum","Adoxaceae",0.5415744628,"Adoxaceae_Viburnum_costaricanum"
"18","Viburnum lantana","lantana","Viburnum","Adoxaceae",0.723,"Adoxaceae_Viburnum_lantana"
"19","Viburnum sambucinum","sambucinum","Viburnum","Adoxaceae",0.6,"Adoxaceae_Viburnum_sambucinum"
"20","Viburnum seemanii","seemanii","Viburnum","Adoxaceae",0.539,"Adoxaceae_Viburnum_seemanii"
"21","Aextoxicon punctatum","punctatum","Aextoxicon","Aextoxicaceae",0.5565,"Aextoxicaceae_Aextoxicon_punctatum"
"22","Akania bidwillii","bidwillii","Akania","Akaniaceae",0.57267375,"Akaniaceae_Akania_bidwillii"
"23","Cupania lucens","bidwillii","Akania","Akaniaceae",0.573,"Akaniaceae_Akania_bidwillii"
"24","Bretschneidera sinensis","sinensis","Bretschneidera","Akaniaceae",0.537,"Akaniaceae_Bretschneidera_sinensis"
"25","Altingia chinensis","chinensis","Altingia","Altingiaceae",0.6512235,"Altingiaceae_Altingia_chinensis"
"26","Altingia excelsa","excelsa","Altingia","Altingiaceae",0.705333333333333,"Altingiaceae_Altingia_excelsa"
"27","Altingia gracilipes","gracilipes","Altingia","Altingiaceae",0.692,"Altingiaceae_Altingia_gracilipes"
"28","Altingia obovata","obovata","Altingia","Altingiaceae",0.7182,"Altingiaceae_Altingia_obovata"
"29","Altingia yunnanensis","yunnanensis","Altingia","Altingiaceae",0.680666666666667,"Altingiaceae_Altingia_yunnanensis"
"30","Liquidambar acalycina","acalycina","Liquidambar","Altingiaceae",0.637961142857143,"Altingiaceae_Liquidambar_acalycina"
"31","Liquidambar formosana","formosana","Liquidambar","Altingiaceae",0.493251052631579,"Altingiaceae_Liquidambar_formosana"
"32","Liquidambar styraciflua","styraciflua","Liquidambar","Altingiaceae",0.47616470875,"Altingiaceae_Liquidambar_styraciflua"
"33","Iresine arbuscula","arbuscula","Iresine","Amaranthaceae",0.48,"Amaranthaceae_Iresine_arbuscula"
"34","Amphipterygium adstringens","adstringens","Amphipterygium","Anacardiaceae",0.41,"Anacardiaceae_Amphipterygium_adstringens"
"35","Anacardium excelsum","excelsum","Anacardium","Anacardiaceae",0.375126924,"Anacardiaceae_Anacardium_excelsum"
"36","Anacardium occidentale","occidentale","Anacardium","Anacardiaceae",0.450322285714286,"Anacardiaceae_Anacardium_occidentale"
"37","Anacardium parvifolium","parvifolium","Anacardium","Anacardiaceae",0.525380339555556,"Anacardiaceae_Anacardium_parvifolium"
"38","Anacardium spruceanum","spruceanum","Anacardium","Anacardiaceae",0.468409090909091,"Anacardiaceae_Anacardium_spruceanum"
"39","Antrocaryon amazonicum","amazonicum","Antrocaryon","Anacardiaceae",0.45,"Anacardiaceae_Antrocaryon_amazonicum"
"40","Poupartia amazonica","amazonicum","Antrocaryon","Anacardiaceae",0.45,"Anacardiaceae_Antrocaryon_amazonicum"
"41","Astronium balansae","balansae","Astronium","Anacardiaceae",0.967377777777778,"Anacardiaceae_Astronium_balansae"
"42","Astronium fraxinifolium","fraxinifolium","Astronium","Anacardiaceae",0.73,"Anacardiaceae_Astronium_fraxinifolium"
"43","Astronium gracile","graveolens","Astronium","Anacardiaceae",0.73,"Anacardiaceae_Astronium_graveolens"
"44","Astronium graveolens","graveolens","Astronium","Anacardiaceae",0.838322319381818,"Anacardiaceae_Astronium_graveolens"
"45","Astronium lecointei","lecointei","Astronium","Anacardiaceae",0.78552765625,"Anacardiaceae_Astronium_lecointei"
"46","Astronium urundeuva","urundeuva","Astronium","Anacardiaceae",1.00316666666667,"Anacardiaceae_Astronium_urundeuva"
"47","Blepharocarya involucrigera","involucrigera","Blepharocarya","Anacardiaceae",0.482666444444444,"Anacardiaceae_Blepharocarya_involucrigera"
"48","Bouea macrophylla","macrophylla","Bouea","Anacardiaceae",0.68,"Anacardiaceae_Bouea_macrophylla"
"49","Buchanania arborescens","arborescens","Buchanania","Anacardiaceae",0.457755682571429,"Anacardiaceae_Buchanania_arborescens"
"50","Buchanania lucida","arborescens","Buchanania","Anacardiaceae",0.5,"Anacardiaceae_Buchanania_arborescens"
"51","Buchanania versteeghii","arborescens","Buchanania","Anacardiaceae",0.42,"Anacardiaceae_Buchanania_arborescens"
"52","Campnosperma gummifera","gummifera","Campnosperma","Anacardiaceae",0.44,"Anacardiaceae_Campnosperma_gummifera"
"53","Choerospondias axillaris","axillaris","Choerospondias","Anacardiaceae",0.473640285714286,"Anacardiaceae_Choerospondias_axillaris"
"54","Comocladia engleriana","macrophylla","Comocladia","Anacardiaceae",0.79,"Anacardiaceae_Comocladia_macrophylla"
"55","Comocladia macrophylla","macrophylla","Comocladia","Anacardiaceae",0.79,"Anacardiaceae_Comocladia_macrophylla"
"56","Dracontomelon dao","dao","Dracontomelon","Anacardiaceae",0.446352727272727,"Anacardiaceae_Dracontomelon_dao"
"57","Dracontomelon edule","dao","Dracontomelon","Anacardiaceae",0.46,"Anacardiaceae_Dracontomelon_dao"
"58","Dracontomelon mangiferum","dao","Dracontomelon","Anacardiaceae",0.53,"Anacardiaceae_Dracontomelon_dao"
"59","Dracontomelon puberulum","dao","Dracontomelon","Anacardiaceae",0.465,"Anacardiaceae_Dracontomelon_dao"
"60","Drimycarpus racemosus","racemosus","Drimycarpus","Anacardiaceae",0.840224,"Anacardiaceae_Drimycarpus_racemosus"
"61","Euroschinus falcatus","falcatus","Euroschinus","Anacardiaceae",0.414141809428571,"Anacardiaceae_Euroschinus_falcatus"
"62","Euroschinus papuanus","papuanus","Euroschinus","Anacardiaceae",0.36,"Anacardiaceae_Euroschinus_papuanus"
"63","Euroschinus vieillardii","vieillardii","Euroschinus","Anacardiaceae",0.48,"Anacardiaceae_Euroschinus_vieillardii"
"64","Gluta laccifera","laccifera","Gluta","Anacardiaceae",0.704433333333333,"Anacardiaceae_Gluta_laccifera"
"65","Gluta renghas","renghas","Gluta","Anacardiaceae",0.55,"Anacardiaceae_Gluta_renghas"
"66","Gluta tourtour","tourtour","Gluta","Anacardiaceae",0.752307110857143,"Anacardiaceae_Gluta_tourtour"
"67","Gluta wallichii","wallichii","Gluta","Anacardiaceae",0.534,"Anacardiaceae_Gluta_wallichii"
"68","Harpephyllum caffrum","caffrum","Harpephyllum","Anacardiaceae",0.503500583,"Anacardiaceae_Harpephyllum_caffrum"
"69","Lannea coromandelica","coromandelica","Lannea","Anacardiaceae",0.548099537746479,"Anacardiaceae_Lannea_coromandelica"
"70","Lannea grandis","coromandelica","Lannea","Anacardiaceae",0.5,"Anacardiaceae_Lannea_coromandelica"
"71","Lannea schweinfurthii","schweinfurthii","Lannea","Anacardiaceae",0.551026666666667,"Anacardiaceae_Lannea_schweinfurthii"
"72","Lithraea molleoides","molleoides","Lithraea","Anacardiaceae",0.474333333333333,"Anacardiaceae_Lithraea_molleoides"
"73","Loxopterygium huasango","huasango","Loxopterygium","Anacardiaceae",0.73,"Anacardiaceae_Loxopterygium_huasango"
"74","Loxopterygium sagotii","sagotii","Loxopterygium","Anacardiaceae",0.561450909090909,"Anacardiaceae_Loxopterygium_sagotii"
"75","Malosma laurina","laurina","Malosma","Anacardiaceae",0.4764,"Anacardiaceae_Malosma_laurina"
"76","Mangifera foetida","foetida","Mangifera","Anacardiaceae",0.525,"Anacardiaceae_Mangifera_foetida"
"77","Mangifera indica","indica","Mangifera","Anacardiaceae",0.551799428571429,"Anacardiaceae_Mangifera_indica"
"78","Mangifera odorata","odorata","Mangifera","Anacardiaceae",0.491428571428571,"Anacardiaceae_Mangifera_odorata"
"79","Melanochyla angustifolia","angustifolia","Melanochyla","Anacardiaceae",0.52,"Anacardiaceae_Melanochyla_angustifolia"
"80","Melanochyla bracteata","bracteata","Melanochyla","Anacardiaceae",0.48,"Anacardiaceae_Melanochyla_bracteata"
"81","Metopium brownei","brownei","Metopium","Anacardiaceae",0.595,"Anacardiaceae_Metopium_brownei"
"82","Metopium toxiferum","toxiferum","Metopium","Anacardiaceae",0.51,"Anacardiaceae_Metopium_toxiferum"
"83","Mosquitoxylum jamaicense","jamaicense","Mosquitoxylum","Anacardiaceae",0.605349463333333,"Anacardiaceae_Mosquitoxylum_jamaicense"
"84","Ozoroa insignis","insignis","Ozoroa","Anacardiaceae",0.561,"Anacardiaceae_Ozoroa_insignis"
"85","Pistacia chinensis","chinensis","Pistacia","Anacardiaceae",0.7080596,"Anacardiaceae_Pistacia_chinensis"
"86","Pistacia integerrima","chinensis","Pistacia","Anacardiaceae",0.73,"Anacardiaceae_Pistacia_chinensis"
"87","Pistacia lentiscus","lentiscus","Pistacia","Anacardiaceae",0.612359777,"Anacardiaceae_Pistacia_lentiscus"
"88","Pistacia terebinthus","terebinthus","Pistacia","Anacardiaceae",0.683488526,"Anacardiaceae_Pistacia_terebinthus"
"89","Pistacia weinmanniifolia","weinmanniifolia","Pistacia","Anacardiaceae",0.899169125,"Anacardiaceae_Pistacia_weinmanniifolia"
"90","Pleiogynium timoriense","timoriense","Pleiogynium","Anacardiaceae",0.745134205076923,"Anacardiaceae_Pleiogynium_timoriense"
"91","Rhus integrifolia","integrifolia","Rhus","Anacardiaceae",0.5076,"Anacardiaceae_Rhus_integrifolia"
"92","Rhus longipes","longipes","Rhus","Anacardiaceae",0.702,"Anacardiaceae_Rhus_longipes"
"93","Rhus ovata","ovata","Rhus","Anacardiaceae",0.5248666666,"Anacardiaceae_Rhus_ovata"
"94","Rhus potaninii","potaninii","Rhus","Anacardiaceae",0.476887333333333,"Anacardiaceae_Rhus_potaninii"
"95","Protorhus thouarsii","thouarsii","Rhus","Anacardiaceae",0.752,"Anacardiaceae_Rhus_thouarsii"
"96","Rhus thouarsii","thouarsii","Rhus","Anacardiaceae",0.744351145333333,"Anacardiaceae_Rhus_thouarsii"
"97","Rhus typhina","typhina","Rhus","Anacardiaceae",0.45,"Anacardiaceae_Rhus_typhina"
"98","Schinopsis balansae","balansae","Schinopsis","Anacardiaceae",1.0565,"Anacardiaceae_Schinopsis_balansae"
"99","Schinopsis brasiliensis","brasiliensis","Schinopsis","Anacardiaceae",1.23,"Anacardiaceae_Schinopsis_brasiliensis"
"100","Schinopsis haenkeana","marginata","Schinopsis","Anacardiaceae",0.998,"Anacardiaceae_Schinopsis_marginata"
"101","Schinus molle","molle","Schinus","Anacardiaceae",0.52514,"Anacardiaceae_Schinus_molle"
"102","Schinus terebinthifolia","terebinthifolia","Schinus","Anacardiaceae",0.411,"Anacardiaceae_Schinus_terebinthifolia"
"103","Sclerocarya birrea","birrea","Sclerocarya","Anacardiaceae",0.37030875,"Anacardiaceae_Sclerocarya_birrea"
"104","Sclerocarya caffra","birrea","Sclerocarya","Anacardiaceae",0.469,"Anacardiaceae_Sclerocarya_birrea"
"105","Rhus lancea","lancea","Searsia","Anacardiaceae",0.827,"Anacardiaceae_Searsia_lancea"
"106","Searsia lancea","lancea","Searsia","Anacardiaceae",0.82656,"Anacardiaceae_Searsia_lancea"
"107","Searsia natalensis","natalensis","Searsia","Anacardiaceae",0.666468488666667,"Anacardiaceae_Searsia_natalensis"
"108","Rhus pyroides","pyroides","Searsia","Anacardiaceae",1.007,"Anacardiaceae_Searsia_pyroides"
"109","Searsia pyroides","pyroides","Searsia","Anacardiaceae",1.00737,"Anacardiaceae_Searsia_pyroides"
"110","Searsia undulata","undulata","Searsia","Anacardiaceae",0.764,"Anacardiaceae_Searsia_undulata"
"111","Semecarpus anacardium","anacardium","Semecarpus","Anacardiaceae",0.424904,"Anacardiaceae_Semecarpus_anacardium"
"112","Semecarpus magnifica","magnifica","Semecarpus","Anacardiaceae",0.413186666666667,"Anacardiaceae_Semecarpus_magnifica"
"113","Sorindeia madagascariensis","madagascariensis","Sorindeia","Anacardiaceae",0.56,"Anacardiaceae_Sorindeia_madagascariensis"
"114","Spondias cytherea","dulcis","Spondias","Anacardiaceae",0.294666666666667,"Anacardiaceae_Spondias_dulcis"
"115","Spondias dulcis","dulcis","Spondias","Anacardiaceae",0.316264545454545,"Anacardiaceae_Spondias_dulcis"
"116","Spondias lutea","mombin","Spondias","Anacardiaceae",0.38,"Anacardiaceae_Spondias_mombin"
"117","Spondias mombin","mombin","Spondias","Anacardiaceae",0.368512564722222,"Anacardiaceae_Spondias_mombin"
"118","Spondias pinnata","pinnata","Spondias","Anacardiaceae",0.331115111111111,"Anacardiaceae_Spondias_pinnata"
"119","Spondias purpurea","purpurea","Spondias","Anacardiaceae",0.346139734285714,"Anacardiaceae_Spondias_purpurea"
"120","Spondias radlkoferi","radlkoferi","Spondias","Anacardiaceae",0.409664230384615,"Anacardiaceae_Spondias_radlkoferi"
"121","Tapirira guianensis","guianensis","Tapirira","Anacardiaceae",0.465708450617021,"Anacardiaceae_Tapirira_guianensis"
"122","Tapirira mexicana","mexicana","Tapirira","Anacardiaceae",0.78,"Anacardiaceae_Tapirira_mexicana"
"123","Tapirira obtusa","obtusa","Tapirira","Anacardiaceae",0.29097,"Anacardiaceae_Tapirira_obtusa"
"124","Rhus diversiloba","diversilobum","Toxicodendron","Anacardiaceae",0.63,"Anacardiaceae_Toxicodendron_diversilobum"
"125","Toxicodendron succedaneum","succedaneum","Toxicodendron","Anacardiaceae",0.3505,"Anacardiaceae_Toxicodendron_succedaneum"
"126","Rhus sylvestris","sylvestre","Toxicodendron","Anacardiaceae",0.64,"Anacardiaceae_Toxicodendron_sylvestre"
"127","Toxicodendron sylvestre","sylvestre","Toxicodendron","Anacardiaceae",0.661,"Anacardiaceae_Toxicodendron_sylvestre"
"128","Toxicodendron vernicifluum","vernicifluum","Toxicodendron","Anacardiaceae",0.420587428571429,"Anacardiaceae_Toxicodendron_vernicifluum"
"129","Anisophyllea corneri","corneri","Anisophyllea","Anisophylleaceae",0.8,"Anisophylleaceae_Anisophyllea_corneri"
"130","Anisophyllea disticha","disticha","Anisophyllea","Anisophylleaceae",0.6825,"Anisophylleaceae_Anisophyllea_disticha"
"131","Anisophyllea manausensis","manausensis","Anisophyllea","Anisophylleaceae",0.86,"Anisophylleaceae_Anisophyllea_manausensis"
"132","Combretocarpus rotundatus","rotundatus","Combretocarpus","Anisophylleaceae",0.604285714285714,"Anisophylleaceae_Combretocarpus_rotundatus"
"133","Poga oleosa","oleosa","Poga","Anisophylleaceae",0.391722400971429,"Anisophylleaceae_Poga_oleosa"
"134","Alphonsea elliptica","elliptica","Alphonsea","Annonaceae",0.85,"Annonaceae_Alphonsea_elliptica"
"135","Alphonsea javanica","javanica","Alphonsea","Annonaceae",0.54,"Annonaceae_Alphonsea_javanica"
"136","Anaxagorea crassipetala","crassipetala","Anaxagorea","Annonaceae",0.48,"Annonaceae_Anaxagorea_crassipetala"
"137","Anaxagorea dolichocarpa","dolichocarpa","Anaxagorea","Annonaceae",0.57235,"Annonaceae_Anaxagorea_dolichocarpa"
"138","Annickia chlorantha","chlorantha","Annickia","Annonaceae",0.444242105615385,"Annonaceae_Annickia_chlorantha"
"139","Annickia polycarpa","polycarpa","Annickia","Annonaceae",0.481915772333333,"Annonaceae_Annickia_polycarpa"
"140","Annona acuminata","acuminata","Annona","Annonaceae",0.650717441666667,"Annonaceae_Annona_acuminata"
"141","Annona crassiflora","crassiflora","Annona","Annonaceae",0.56,"Annonaceae_Annona_crassiflora"
"142","Annona foetida","foetida","Annona","Annonaceae",0.572,"Annonaceae_Annona_foetida"
"143","Annona glabra","glabra","Annona","Annonaceae",0.438333333333333,"Annonaceae_Annona_glabra"
"144","Annona hypoglauca","hypoglauca","Annona","Annonaceae",0.38,"Annonaceae_Annona_hypoglauca"
"145","Annona muricata","muricata","Annona","Annonaceae",0.37,"Annonaceae_Annona_muricata"
"146","Annona purpurea","purpurea","Annona","Annonaceae",0.645033544,"Annonaceae_Annona_purpurea"
"147","Annona rensoniana","rensoniana","Annona","Annonaceae",0.3,"Annonaceae_Annona_rensoniana"
"148","Rollinia membranacea","rensoniana","Annona","Annonaceae",0.3,"Annonaceae_Annona_rensoniana"
"149","Annona reticulata","reticulata","Annona","Annonaceae",0.5381951675,"Annonaceae_Annona_reticulata"
"150","Annona rugulosa","rugulosa","Annona","Annonaceae",0.37318395,"Annonaceae_Annona_rugulosa"
"151","Annona spraguei","spraguei","Annona","Annonaceae",0.521007383888889,"Annonaceae_Annona_spraguei"
"152","Annona squamosa","squamosa","Annona","Annonaceae",0.617932444444444,"Annonaceae_Annona_squamosa"
"153","Bocageopsis multiflora","multiflora","Bocageopsis","Annonaceae",0.64273171575,"Annonaceae_Bocageopsis_multiflora"
"154","Cananga odorata","odorata","Cananga","Annonaceae",0.325205882352941,"Annonaceae_Cananga_odorata"
"155","Cleistopholis glauca","glauca","Cleistopholis","Annonaceae",0.313463060285714,"Annonaceae_Cleistopholis_glauca"
"156","Cyathocalyx globosus","globosus","Cyathocalyx","Annonaceae",0.74,"Annonaceae_Cyathocalyx_globosus"
"157","Cyathocalyx maingayi","maingayi","Cyathocalyx","Annonaceae",0.48,"Annonaceae_Cyathocalyx_maingayi"
"158","Cyathocalyx sumatranus","sumatranus","Cyathocalyx","Annonaceae",0.77,"Annonaceae_Cyathocalyx_sumatranus"
"159","Cymbopetalum brasiliense","brasiliense","Cymbopetalum","Annonaceae",0.483914285714286,"Annonaceae_Cymbopetalum_brasiliense"
"160","Desmopsis panamensis","panamensis","Desmopsis","Annonaceae",0.687159459875,"Annonaceae_Desmopsis_panamensis"
"161","Declinanona calycina","calycina","Diclinanona","Annonaceae",0.47,"Annonaceae_Diclinanona_calycina"
"162","Diclinanona calycina","calycina","Diclinanona","Annonaceae",0.47,"Annonaceae_Diclinanona_calycina"
"163","Cyathocalyx havilandii","havilandii","Drepananthus","Annonaceae",0.6,"Annonaceae_Drepananthus_havilandii"
"164","Drepananthus havilandii","havilandii","Drepananthus","Annonaceae",0.6,"Annonaceae_Drepananthus_havilandii"
"165","Cyathocalyx pahangensis","pahangensis","Drepananthus","Annonaceae",0.45,"Annonaceae_Drepananthus_pahangensis"
"166","Drepananthus pahangensis","pahangensis","Drepananthus","Annonaceae",0.45,"Annonaceae_Drepananthus_pahangensis"
"167","Cyathocalyx pruniferus","pruniferus","Drepananthus","Annonaceae",0.39,"Annonaceae_Drepananthus_pruniferus"
"168","Drepananthus pruniferus","pruniferus","Drepananthus","Annonaceae",0.38,"Annonaceae_Drepananthus_pruniferus"
"169","Cyathocalyx bancanus","ramuliflorus","Drepananthus","Annonaceae",0.34,"Annonaceae_Drepananthus_ramuliflorus"
"170","Drepananthus ramuliflorus","ramuliflorus","Drepananthus","Annonaceae",0.376666666666667,"Annonaceae_Drepananthus_ramuliflorus"
"171","Duguetia calycina","calycina","Duguetia","Annonaceae",0.37,"Annonaceae_Duguetia_calycina"
"172","Duguetia chrysea","chrysea","Duguetia","Annonaceae",0.845,"Annonaceae_Duguetia_chrysea"
"173","Duguetia confinis","confinis","Duguetia","Annonaceae",0.62013180325,"Annonaceae_Duguetia_confinis"
"174","Duguetia confusa","confusa","Duguetia","Annonaceae",0.687384263,"Annonaceae_Duguetia_confusa"
"175","Duguetia echinophora","echinophora","Duguetia","Annonaceae",0.735114358,"Annonaceae_Duguetia_echinophora"
"176","Duguetia megalocarpa","megalocarpa","Duguetia","Annonaceae",0.91,"Annonaceae_Duguetia_megalocarpa"
"177","Duguetia quitarensis","quitarensis","Duguetia","Annonaceae",0.797142857142857,"Annonaceae_Duguetia_quitarensis"
"178","Duguetia staudtii","staudtii","Duguetia","Annonaceae",0.63947948,"Annonaceae_Duguetia_staudtii"
"179","Duguetia stelechantha","stelechantha","Duguetia","Annonaceae",0.849,"Annonaceae_Duguetia_stelechantha"
"180","Duguetia surinamensis","surinamensis","Duguetia","Annonaceae",0.8208875,"Annonaceae_Duguetia_surinamensis"
"181","Fusaea longifolia","longifolia","Fusaea","Annonaceae",0.7509,"Annonaceae_Fusaea_longifolia"
"182","Goniothalamus giganteus","giganteus","Goniothalamus","Annonaceae",0.38,"Annonaceae_Goniothalamus_giganteus"
"183","Goniothalamus malayanus","malayanus","Goniothalamus","Annonaceae",0.5,"Annonaceae_Goniothalamus_malayanus"
"184","Goniothalamus tortilipetalus","tortilipetalus","Goniothalamus","Annonaceae",0.72,"Annonaceae_Goniothalamus_tortilipetalus"
"185","Greenwayodendron suaveolens","suaveolens","Greenwayodendron","Annonaceae",0.680552598,"Annonaceae_Greenwayodendron_suaveolens"
"186","Polyalthia suaveolens","suaveolens","Greenwayodendron","Annonaceae",0.683,"Annonaceae_Greenwayodendron_suaveolens"
"187","Guatteria amplifolia","amplifolia","Guatteria","Annonaceae",0.455153972823529,"Annonaceae_Guatteria_amplifolia"
"188","Guatteria australis","australis","Guatteria","Annonaceae",0.486099045,"Annonaceae_Guatteria_australis"
"189","Guatteria nigrescens","australis","Guatteria","Annonaceae",0.59,"Annonaceae_Guatteria_australis"
"190","Guatteria blainii","blainii","Guatteria","Annonaceae",0.8,"Annonaceae_Guatteria_blainii"
"191","Guatteria caribaea","caribaea","Guatteria","Annonaceae",0.8,"Annonaceae_Guatteria_caribaea"
"192","Guatteria chiriquiensis","chiriquiensis","Guatteria","Annonaceae",0.400333333333333,"Annonaceae_Guatteria_chiriquiensis"
"193","Guatteria decurrens","decurrens","Guatteria","Annonaceae",0.52,"Annonaceae_Guatteria_decurrens"
"194","Guatteria dumetorum","dumetorum","Guatteria","Annonaceae",0.456,"Annonaceae_Guatteria_dumetorum"
"195","Guatteria modesta","modesta","Guatteria","Annonaceae",0.54,"Annonaceae_Guatteria_modesta"
"196","Guatteria olivacea","olivacea","Guatteria","Annonaceae",0.455666666666667,"Annonaceae_Guatteria_olivacea"
"197","Guatteria pudica","pudica","Guatteria","Annonaceae",0.5326875,"Annonaceae_Guatteria_pudica"
"198","Guatteria puncticulata","puncticulata","Guatteria","Annonaceae",0.54,"Annonaceae_Guatteria_puncticulata"
"199","Guatteria schomburgkiana","schomburgkiana","Guatteria","Annonaceae",0.6,"Annonaceae_Guatteria_schomburgkiana"
"200","Guatteria scytophylla","scytophylla","Guatteria","Annonaceae",0.515,"Annonaceae_Guatteria_scytophylla"
"201","Hexalobus crispiflorus","crispiflorus","Hexalobus","Annonaceae",0.478441926181818,"Annonaceae_Hexalobus_crispiflorus"
"202","Maasia glauca","glauca","Maasia","Annonaceae",0.45,"Annonaceae_Maasia_glauca"
"203","Polyalthia glauca","glauca","Maasia","Annonaceae",0.45,"Annonaceae_Maasia_glauca"
"204","Maasia hypoleuca","hypoleuca","Maasia","Annonaceae",0.593333333333333,"Annonaceae_Maasia_hypoleuca"
"205","Polyalthia hypoleuca","hypoleuca","Maasia","Annonaceae",0.593333333333333,"Annonaceae_Maasia_hypoleuca"
"206","Maasia sumatrana","sumatrana","Maasia","Annonaceae",0.52,"Annonaceae_Maasia_sumatrana"
"207","Polyalthia sumatrana","sumatrana","Maasia","Annonaceae",0.52,"Annonaceae_Maasia_sumatrana"
"208","Mezzettia curtisii","parviflora","Mezzettia","Annonaceae",0.55,"Annonaceae_Mezzettia_parviflora"
"209","Mezzettia leptopoda","parviflora","Mezzettia","Annonaceae",0.58,"Annonaceae_Mezzettia_parviflora"
"210","Mezzettia parviflora","parviflora","Mezzettia","Annonaceae",0.533125,"Annonaceae_Mezzettia_parviflora"
"211","Miliusa horsfieldii","horsfieldii","Miliusa","Annonaceae",0.61,"Annonaceae_Miliusa_horsfieldii"
"212","Miliusa velutina","velutina","Miliusa","Annonaceae",0.637916666666667,"Annonaceae_Miliusa_velutina"
"213","Milliusa velutina","velutina","Miliusa","Annonaceae",0.63,"Annonaceae_Miliusa_velutina"
"214","Mitrephora polypyrena","polypyrena","Mitrephora","Annonaceae",0.68,"Annonaceae_Mitrephora_polypyrena"
"215","Mitrephora maingayi","teysmannii","Mitrephora","Annonaceae",0.76,"Annonaceae_Mitrephora_teysmannii"
"216","Mitrephora teysmannii","teysmannii","Mitrephora","Annonaceae",0.76,"Annonaceae_Mitrephora_teysmannii"
"217","Mitrephora thorelii","thorelii","Mitrephora","Annonaceae",0.62,"Annonaceae_Mitrephora_thorelii"
"218","Monocarpia euneura","euneura","Monocarpia","Annonaceae",0.48,"Annonaceae_Monocarpia_euneura"
"219","Monodora tenuifolia","tenuifolia","Monodora","Annonaceae",0.49,"Annonaceae_Monodora_tenuifolia"
"220","Mosannona garwoodii","garwoodii","Mosannona","Annonaceae",0.731011246,"Annonaceae_Mosannona_garwoodii"
"221","Oxandra asbeckii","asbeckii","Oxandra","Annonaceae",0.77,"Annonaceae_Oxandra_asbeckii"
"222","Oxandra espintana","espintana","Oxandra","Annonaceae",0.63,"Annonaceae_Oxandra_espintana"
"223","Oxandra lanceolata","lanceolata","Oxandra","Annonaceae",0.8125,"Annonaceae_Oxandra_lanceolata"
"224","Oxandra longipetala","longipetala","Oxandra","Annonaceae",0.5886690735,"Annonaceae_Oxandra_longipetala"
"225","Oxandra riedeliana","riedeliana","Oxandra","Annonaceae",0.77,"Annonaceae_Oxandra_riedeliana"
"226","Oxandra xylopioides","xylopioides","Oxandra","Annonaceae",0.72524646775,"Annonaceae_Oxandra_xylopioides"
"227","Phaeanthus ebracteolatus","ophthalmicus","Phaeanthus","Annonaceae",0.56,"Annonaceae_Phaeanthus_ophthalmicus"
"228","Phaeanthus ophthalmicus","ophthalmicus","Phaeanthus","Annonaceae",0.47,"Annonaceae_Phaeanthus_ophthalmicus"
"229","Polyalthia macropoda","ophthalmicus","Phaeanthus","Annonaceae",0.47,"Annonaceae_Phaeanthus_ophthalmicus"
"230","Platymitra macrocarpa","macrocarpa","Platymitra","Annonaceae",0.61,"Annonaceae_Platymitra_macrocarpa"
"231","Polyalthia beccarii","cauliflora","Polyalthia","Annonaceae",0.65,"Annonaceae_Polyalthia_cauliflora"
"232","Polyalthia cauliflora","cauliflora","Polyalthia","Annonaceae",0.65,"Annonaceae_Polyalthia_cauliflora"
"233","Polyalthia celebica","celebica","Polyalthia","Annonaceae",0.33,"Annonaceae_Polyalthia_celebica"
